first_column,path_no,o_zone_id,d_zone_id,within_OD_path_no,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,OD_impact_flag,path_network_design_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,node_sequence,link_sequence,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence
,1,1,2,0,1,0,sov,PM,46.05,0,1,0,0,0,11,11.9,11.8771,11.8771,6.5403,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202354;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201823AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.310974 33.638683)",,,,
,2,1,3,0,1,0,sov,PM,341.75,0,1,0,0,0,13,14.6,14.6304,14.6304,7.9349,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202498;202495;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201550AB;201562AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.330326 33.624071)",,,,
,3,1,3,3,4,0,sov,PM,52.87,0,1,0,0,0,14,14.8,14.7548,14.7548,7.9494,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202498;202497;202780;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201550AB;201568AB;201564AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.342088 33.632453, -112.330766 33.623526)",,,,
,4,1,3,1,2,0,sov,PM,45.71,0,1,0,0,0,14,14.7,14.6624,14.6624,8.0582,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202782;202500;202498;202495;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201070AB;201574AB;201550AB;201562AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.330326 33.624071)",,,,
,5,1,3,2,3,0,sov,PM,54.43,0,1,0,0,0,15,14.8,14.7868,14.7868,8.0727,202750;202749;202748;202788;202789;202804;202785;202803;202370;202783;202782;202500;202498;202497;202780;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201070AB;201574AB;201550AB;201568AB;201564AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.342088 33.632453, -112.330766 33.623526)",,,,
,6,1,4,0,1,0,sov,PM,3461.27,0,1,0,0,0,11,10.4,10.4302,10.4302,9.8951,202750;202749;202466;202488;202768;202767;202578;202608;202607;202597;202596;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201324AB;201298AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.418445 33.636825, -112.418553 33.626198)",,,,
,7,1,5,0,1,0,sov,PM,30.96,0,1,0,0,0,18,15.6,15.6299,15.6299,12.0918,202750;202749;202466;202488;202768;202767;202578;202608;202607;202586;202585;202588;202618;202617;202606;202909;202908;202855;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201348AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201286AB;201280AB;200831AB;200947BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.435072 33.638808, -112.452687 33.638513, -112.461442 33.638386, -112.472467 33.638364)",,,,
,8,1,6,0,1,0,sov,PM,1487.85,0,1,1,0,0,14,16.6,16.5829,16.5829,12.218,202750;202749;202466;202488;202768;202767;202578;202577;202790;202809;202796;202925;202923;202926;,201088AB;201644AB;201635AB;201589AB;201078AB;201345AB;201352AB;201346BA;201065BA;201606BA;201595BA;200821AB;201003BA;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.360367 33.696725, -112.389505 33.692538, -112.396526 33.687434, -112.403252 33.681410, -112.405692 33.679114, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,9,1,8,0,1,0,sov,PM,33.37,0,1,0,0,0,6,5.9,5.9451,5.9451,3.5154,202750;202749;202748;202788;202789;202806;,201088AB;201646BA;201645BA;201090AB;201848AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.313380 33.681851)",,,,
,10,1,9,0,1,0,sov,PM,1.1,0,1,0,0,0,14,13.8,13.8339,13.8339,7.3773,202750;202749;202748;202788;202789;202804;202785;202784;202522;202782;202500;202498;202497;202501;,201088AB;201646BA;201645BA;201090AB;201849AB;201844BA;201069AB;201498AB;201573AB;201574AB;201550AB;201568AB;201563AB;,"LINESTRING (-112.313608 33.707118, -112.334077 33.698525, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.331676 33.666065, -112.337504 33.649679, -112.334501 33.638522, -112.342096 33.638688, -112.342079 33.632787, -112.342088 33.632453, -112.341961 33.627740)",,,,
